avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/19/193f7030f616bdf3545b50a6e3df59f4cb2d9651_full.jpg,,False,,2.0,CN,6806,Ameame,@@,https://steamcommunity.com/profiles/76561198085846975/,8466.0,125581247
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/11/11111d2601310221a2f0e9f67f32898c2df32b7d_full.jpg,,False,,15.0,CN,7088,Chalice,orion,https://steamcommunity.com/id/chalice15/,8181.0,94738847
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/dc/dc9cb902eafe4b4a2bf4ff7606dd3d670bb6ce18_full.jpg,,False,,635.0,CN,5803,,没1就GG,https://steamcommunity.com/profiles/76561198184233937/,5950.0,223968209
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/bc/bce452b0dd8767a2a867097b08fa8395d9c94879_full.jpg,2300.0,False,,345.0,,6311,,kkk,https://steamcommunity.com/profiles/76561198110169681/,6113.0,149903953
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/07/0770d08f36d7a9aa5272a2e2ff5be29ebc7dd55a_full.jpg,,False,,13.0,,6733,小可,sqm,https://steamcommunity.com/id/106863163/,8332.0,106863163
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/06/06b202141d2242d89fe6d136cc99147a8904e658_full.jpg,,False,2017-03-08T06:54:19.075Z,42.0,,7169,"roddgeee,",117,https://steamcommunity.com/id/roddgeee/,8088.0,108717482
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/29/2908a762e503a140de8a5fcea88fc66503abab65_full.jpg,4307.0,False,,555.0,,6040,,曜,https://steamcommunity.com/profiles/76561198136118432/,6100.0,175852704
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c4/c407247d841412cf8a872297e0a451d24e4f4fb2_full.jpg,,False,,467.0,,5677,,上分小子2.0,https://steamcommunity.com/profiles/76561198100361494/,5696.0,140095766
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/05/05779d68103cc7db89d95ea063d3ad985d5fcf55_full.jpg,4729.0,False,,327.0,CN,5624,,貂蝉,https://steamcommunity.com/profiles/76561198273618501/,6084.0,313352773
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1b/1bc9c7cd0441a8fd1e7cae7f339ba089dde9f7fc_full.jpg,3727.0,False,,555.0,CN,6042,,瞎比玩,https://steamcommunity.com/profiles/76561198212509812/,,252244084
